Step,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
10,0.9314,0.887112,0.747982,0.66434,0.63451,0.747982
20,0.889,0.829821,0.765022,0.665737,0.740232,0.765022
30,0.8495,0.771673,0.764126,0.661957,0.583888,0.764126
40,0.7767,0.723342,0.764126,0.661957,0.583888,0.764126
50,0.7105,0.666251,0.764126,0.661957,0.583888,0.764126
60,0.6194,0.615749,0.764126,0.661957,0.583888,0.764126
70,0.6243,0.583481,0.764126,0.661957,0.583888,0.764126
80,0.6187,0.54573,0.765022,0.664081,0.817596,0.765022
90,0.5698,0.518312,0.783857,0.718248,0.770329,0.783857
100,0.4909,0.508331,0.774888,0.688308,0.793248,0.774888
110,0.4943,0.46619,0.802691,0.745193,0.823442,0.802691
120,0.455,0.465018,0.834081,0.831124,0.828578,0.834081
130,0.5078,0.504986,0.78565,0.711007,0.813586,0.78565
140,0.4242,0.422594,0.839462,0.814404,0.837327,0.839462
150,0.4407,0.406956,0.846637,0.840886,0.837925,0.846637
160,0.4034,0.429109,0.826906,0.792981,0.828849,0.826906
170,0.428,0.388851,0.843049,0.841083,0.839221,0.843049
180,0.3823,0.389269,0.842152,0.838922,0.836285,0.842152
190,0.3874,0.376974,0.849327,0.829524,0.845633,0.849327
200,0.3935,0.365822,0.86009,0.852333,0.851193,0.86009
210,0.4191,0.619237,0.782063,0.704905,0.80108,0.782063
220,0.5007,0.365196,0.853812,0.845908,0.844265,0.853812
230,0.3761,0.441812,0.821525,0.825426,0.832631,0.821525
240,0.4814,0.382745,0.849327,0.833141,0.841436,0.849327
250,0.3536,0.385909,0.834081,0.810748,0.826057,0.834081
260,0.4641,0.355796,0.856502,0.844434,0.847844,0.856502
270,0.4445,0.356614,0.860987,0.849715,0.852941,0.860987
280,0.4363,0.338157,0.867265,0.861989,0.859819,0.867265
290,0.3874,0.425502,0.836771,0.804945,0.847322,0.836771
300,0.3327,0.336623,0.867265,0.863514,0.861064,0.867265
310,0.3209,0.363085,0.852018,0.838084,0.843282,0.852018
320,0.3892,0.371918,0.847534,0.823423,0.850081,0.847534
330,0.28,0.363032,0.859193,0.846847,0.851382,0.859193
340,0.3884,0.429934,0.818834,0.82474,0.837653,0.818834
350,0.3172,0.390646,0.84843,0.835593,0.838216,0.84843
360,0.4623,0.352006,0.852018,0.846918,0.844088,0.852018
370,0.3408,0.341394,0.863677,0.852445,0.856238,0.863677
380,0.3338,0.33544,0.867265,0.859324,0.859173,0.867265
390,0.352,0.518832,0.829596,0.793295,0.840466,0.829596
400,0.3951,0.433597,0.790135,0.802303,0.840763,0.790135
410,0.3724,0.348687,0.864574,0.847196,0.865669,0.864574
420,0.3642,0.333265,0.868161,0.862571,0.860594,0.868161
430,0.354,0.34212,0.865471,0.852193,0.86046,0.865471
440,0.3338,0.364389,0.851121,0.854667,0.862801,0.851121
450,0.3507,0.473311,0.833184,0.797615,0.847374,0.833184
460,0.4608,0.424834,0.797309,0.808615,0.843786,0.797309
470,0.514,0.408431,0.859193,0.840393,0.859732,0.859193
480,0.3673,0.364156,0.847534,0.849971,0.854753,0.847534
490,0.3575,0.551596,0.812556,0.764594,0.825194,0.812556
500,0.3679,0.348416,0.849327,0.850027,0.851307,0.849327
510,0.3257,0.342004,0.869058,0.859623,0.861699,0.869058
520,0.2915,0.331192,0.867265,0.861296,0.859473,0.867265
530,0.3447,0.330015,0.86009,0.85686,0.854391,0.86009
540,0.3054,0.340811,0.868161,0.856811,0.861966,0.868161
550,0.2437,0.394219,0.868161,0.859615,0.860303,0.868161
560,0.4696,0.366331,0.856502,0.854487,0.852608,0.856502
570,0.281,0.40289,0.847534,0.827512,0.843138,0.847534
580,0.2995,0.470482,0.791031,0.803669,0.846667,0.791031
590,0.3077,0.467765,0.850224,0.824826,0.858152,0.850224
600,0.2623,0.332859,0.871749,0.866049,0.864357,0.871749
610,0.2455,0.376181,0.875336,0.865082,0.869997,0.875336
620,0.3416,0.425344,0.855605,0.834685,0.857913,0.855605
630,0.2814,0.346595,0.870852,0.865235,0.863434,0.870852
640,0.2336,0.408351,0.860987,0.842408,0.862239,0.860987
650,0.2564,0.345376,0.861883,0.856685,0.854242,0.861883
660,0.2381,0.340493,0.859193,0.858801,0.858522,0.859193
670,0.1988,0.384558,0.878027,0.865261,0.877203,0.878027
680,0.2149,0.355093,0.853812,0.851888,0.85007,0.853812
690,0.2478,0.365698,0.878924,0.868924,0.874261,0.878924
700,0.1203,0.334987,0.881614,0.87635,0.875011,0.881614
710,0.1697,0.372763,0.863677,0.864183,0.865291,0.863677
720,0.2238,0.374084,0.875336,0.870191,0.868382,0.875336
730,0.2168,0.373799,0.879821,0.872264,0.873353,0.879821
740,0.2028,0.344785,0.879821,0.875717,0.873648,0.879821
750,0.2375,0.348662,0.881614,0.875282,0.874985,0.881614
760,0.1194,0.361637,0.883408,0.876264,0.877272,0.883408
770,0.1838,0.365087,0.879821,0.874498,0.873082,0.879821
780,0.1558,0.374009,0.873543,0.869805,0.867491,0.873543
790,0.1577,0.382987,0.866368,0.862496,0.860022,0.866368
800,0.1467,0.404517,0.875336,0.868392,0.868103,0.875336
810,0.1592,0.416803,0.873543,0.865033,0.866526,0.873543
820,0.144,0.402397,0.868161,0.863247,0.860987,0.868161
830,0.1581,0.400636,0.864574,0.860882,0.858384,0.864574